"id_materia","id_carrera","nombre","salon","grupo","cupo","docente","laboratorio","lunes","martes","miercoles","jueves","viernes","sabado"
2342,"ISftw","geometria 6","23","342",18,"Sin asignar","No","12:00-14:00","-","-","-","-","-"
2134,"ISftw","programacion 1","234","234",23,"Sin asignar","Si","12:00-14:00","-","12:00-14:00","-","12:00-14:00","-"
2344,"ISftw","programacion 8","23","234",17,"Sin asignar","No","18:00-20:00","-","-","-","-","-"
23,"ISftw","geometria 4","23","234",22,"Sin asignar","No","10:00-12:00","-","-","-","-","-"
211,"ISftw","Estadística aplicada","101","3A",35,"Sin asignar","No","12:00-14:00","-","10:00-12:00","-","-","-"
2341,"ISftw","programacion 8","23","234",20,"Sin asignar","No","18:00-20:00","-","-","-","-","-"
324,"ISftw","programacion 1","235","234",18,"Sin asignar","Si","12:00-14:00","-","12:00-14:00","-","14:00-16:00","-"
220,"IDsr","Redes de computadoras","101","3B",30,"Sin asignar","No","12:00-14:00","16:00-18:00","12:00-14:00","16:00-18:00","-","-"
3324,"ISftwS","ecuaciones diferenciales","234","123",18,"Sin asignar","No","-","-","-","-","14:00-20:00","15:00-20:00"
232,"ISftwS","programacion 5","235","234",21,"Sin asignar","No","-","-","-","-","7:00-14:00","7:00-14:00"
236,"ISftwS","programacion 4","234","342",23,"Sin asignar","No","-","-","-","-","7:00-15:00","15:00-20:00"
129,"ISftwS","programacion 2","234","234",22,"Sin asignar","No","-","-","-","-","7:00-15:00","14:00-20:00"
3234,"ISftwS","gemoetria","234","342",23,"Sin asignar","No","-","-","-","-","14:00-21:00","14:00-21:00"
225,"IDsrS","Redes de computadoras","101","3B",30,"Sin asignar","No","12:00-14:00","16:00-18:00","12:00-14:00","16:00-18:00","-","-"